qualify,practice,driver,DriverNum,Lap,Stint,track
76.294,76.145,J. ALGUERSUARI,19,9,2,canada
100.232,100.239,J. ALGUERSUARI,19.0,3.0,1.0,europa
95.245,94.329,J. ALGUERSUARI,19,3,1,great_britain
93.658,94.125,J. ALGUERSUARI,19,6,2,germany
82.979,83.998,J. ALGUERSUARI,19,8,3,hungary
110.773,112.911,J. ALGUERSUARI,19,21,4,belgium
77.343,78.115,H. KOVALAINEN,20.0,8.0,2.0,monaco
76.786,77.093,H. KOVALAINEN,20,4,1,canada
101.664,101.267,H. KOVALAINEN,20.0,9.0,2.0,europa
94.821,95.225,H. KOVALAINEN,20,7,3,great_britain
95.599,95.385,H. KOVALAINEN,20,4,1,germany
84.362,85.447,H. KOVALAINEN,20,6,2,hungary
126.78,116.202,H. KOVALAINEN,20,7,2,belgium
77.381,78.49,J. TRULLI,21.0,8.0,2.0,monaco
76.745,77.523,J. TRULLI,21,11,2,canada
102.234,101.69,J. TRULLI,21.0,4.0,1.0,europa
96.456,96.905,J. TRULLI,21,1,1,great_britain
nan,nan,J. TRULLI,nan,nan,nan,germany
84.534,84.994,J. TRULLI,21,5,2,hungary
128.773,115.051,J. TRULLI,21,4,1,belgium
nan,nan,K. CHANDHOK,nan,nan,nan,monaco
nan,nan,K. CHANDHOK,nan,nan,nan,canada
nan,nan,K. CHANDHOK,nan,nan,nan,europa
nan,111.119,K. CHANDHOK,nan,nan,nan,great_britain
96.422,96.959,K. CHANDHOK,21,9,2,germany
nan,nan,K. CHANDHOK,nan,nan,nan,hungary
nan,133.09,K. CHANDHOK,nan,nan,nan,belgium
nan,79.463,D. RICCIARDO,nan,nan,nan,monaco
nan,nan,D. RICCIARDO,nan,nan,nan,canada
nan,102.412,D. RICCIARDO,nan,nan,nan,europa
98.059,98.289,D. RICCIARDO,22,3,1,great_britain
97.036,97.554,D. RICCIARDO,22,9,2,germany
86.479,86.991,D. RICCIARDO,22,9,2,hungary
133.077,117.612,D. RICCIARDO,22,7,1,belgium
nan,80.115,V. LIUZZI,nan,nan,nan,monaco
78.424,78.91,V. LIUZZI,23,8,2,canada
103.584,103.243,V. LIUZZI,23.0,4.0,1.0,europa
97.484,98.568,V. LIUZZI,23,4,1,great_britain
97.011,96.804,V. LIUZZI,23,9,2,germany
86.323,87.713,V. LIUZZI,23,8,3,hungary
131.616,117.45,V. LIUZZI,23,7,1,belgium
nan,80.278,N. KARTHIKEYAN,nan,nan,nan,monaco
78.574,79.213,N. KARTHIKEYAN,22,10,2,canada
nan,104.63,N. KARTHIKEYAN,nan,nan,nan,europa
nan,nan,N. KARTHIKEYAN,nan,nan,nan,great_britain
nan,98.504,N. KARTHIKEYAN,nan,nan,nan,germany
nan,nan,N. KARTHIKEYAN,nan,nan,nan,hungary
nan,nan,N. KARTHIKEYAN,nan,nan,nan,belgium
77.914,78.58,T. GLOCK,24.0,11.0,2.0,monaco
78.537,79.073,T. GLOCK,24,6,1,canada
102.553,102.273,T. GLOCK,24.0,8.0,2.0,europa
96.203,97.614,T. GLOCK,24,3,1,great_britain
96.4,96.724,T. GLOCK,24,10,2,germany
86.294,86.823,T. GLOCK,24,6,2,hungary
129.566,115.494,T. GLOCK,24,7,1,belgium
78.736,78.808,J. D'AMBROSIO,25.0,9.0,2.0,monaco
nan,80.475,J. D'AMBROSIO,nan,nan,nan,canada
103.735,102.809,J. D'AMBROSIO,25.0,3.0,1.0,europa
97.154,98.068,J. D'AMBROSIO,25,2,1,great_britain
96.641,96.894,J. D'AMBROSIO,25,10,2,germany
86.51,86.955,J. D'AMBROSIO,25,6,2,hungary
131.601,116.816,J. D'AMBROSIO,25,6,1,belgium
